Train Number,Train Name,From Station,To Station
05509,SHC JMP MEMU SPL,SAHARSA JN,JAMALPUR JN
05510,JMP SHC MEMU SPL,JAMALPUR JN,SAHARSA JN
05515,FBG SAHARSA DEMU,FORBESGANJ,SAHARSA JN
05516,SAHARSA FBG DEMU,SAHARSA JN,FORBESGANJ
05517,DBG HRGR DEMU SPL,DARBHANGA JN,HARNAGAR
05518,HRGR DBG DEMU SPL,HARNAGAR,DARBHANGA JN
05519,VAISHALI SONPUR DEMU,VAISHALI,SONPUR JN
05520,SONPUR VAISHALI DEMU,SONPUR JN,VAISHALI
05523,SRGR SHC DEMU SPL,SARAYGARH,SAHARSA JN
05524,SHC SRGR DEMU SPL,SAHARSA JN,SARAYGARH
05525,SPJ RXL DEMU SPL,SAMASTIPUR JN,RAXAUL JN
05526,RXL SPJ DEMU SPL,RAXAUL JN,SAMASTIPUR JN
05527,GAH NKE MEMU SPL,GAWNAHA,NARKATIAGANJ JN
05528,NKE GAH MEMU SPL,NARKATIAGANJ JN,GAWNAHA
05539,PRNC SHC PASS SPL,PURNIA COURT,SAHARSA JN
05540,SHC PRNC PASS SPL,SAHARSA JN,PURNIA COURT
05541,RXL NKE DEMU SPL,RAXAUL JN,NARKATIAGANJ JN
05542,NKE RXL DEMU SPL,NARKATIAGANJ JN,RAXAUL JN
05543,LSI SHC DEMU SPL,LAHERIA SARAI,SAHARSA JN
05544,SHC LSI DEMU SPL,SAHARSA JN,LAHERIA SARAI
05545,LSI SHC DEMU SPL,LAHERIA SARAI,SAHARSA JN
05546,SHC LSI DEMU SPL,SAHARSA JN,LAHERIA SARAI
05547,LSI SHC DEMU SPL,LAHERIA SARAI,SAHARSA JN
05548,SHC LSI DEMU SPL,SAHARSA JN,LAHERIA SARAI
05549,SHC SPJ PASS SPL,SAHARSA JN,SAMASTIPUR JN
05550,SPJ SHC PASS SPL,SAMASTIPUR JN,SAHARSA JN
05553,PPTA GAYA PUJA SPL,PATLIPUTRA,GAYA JN
05554,GAYA PPTA PUJA SPL,GAYA JN,PATLIPUTRA
05555,RXL NKE PASS SPL,RAXAUL JN,NARKATIAGANJ JN
05556,NKE RXL PASS SPL,NARKATIAGANJ JN,RAXAUL JN
05567,SCL BHRB PASS SPL,SILCHAR,BHAIRABI
05568,BHRB SCL PASS SPL,BHAIRABI,SILCHAR
05579,DBG FBG DEMU SPL,DARBHANGA JN,FORBESGANJ
05580,FBG DBG DEMU SPL,FORBESGANJ,DARBHANGA JN
05587,RXL NKE DEMU SPL,RAXAUL JN,NARKATIAGANJ JN
05588,NKE RXL DEMU SPL,NARKATIAGANJ JN,RAXAUL JN
05589,SPJ DBG DEMU SPL,SAMASTIPUR JN,DARBHANGA JN
05590,DBG SPJ DEMU SPL,DARBHANGA JN,SAMASTIPUR JN
05591,DBG HRGR DEMU SPL,DARBHANGA JN,HARNAGAR
05592,HRGR DBG DEMU SPL,HARNAGAR,DARBHANGA JN
05593,SPJ JYG DEMU SPL,SAMASTIPUR JN,JAYNAGAR
05594,JYG SPJ DEMU SPL,JAYNAGAR,SAMASTIPUR JN
05595,SPJ MFP DEMU SPL,SAMASTIPUR JN,MUZAFFARPUR JN
05596,MFP SPJ DEMU SPL,MUZAFFARPUR JN,SAMASTIPUR JN
05601,GHY LMG PASS SPL,GUWAHATI,LUMDING JN
05602,LMG GHY PASS SPL,LUMDING JN,GUWAHATI
05605,GHY SKHV PASS SPL,GUWAHATI,SUKHOVI
05606,SKHV GHY PASS SPL,SUKHOVI,GUWAHATI
05607,MNDP GHY PASS SPL,MENDIPATHAR,GUWAHATI
05608,GHY MNDP PASS SPL,GUWAHATI,MENDIPATHAR
05659,SCL VNGP PASS SPL,SILCHAR,VANGAICHUNGPAO
05660,VNGP SCL PASS SPL,VANGAICHUNGPAO,SILCHAR
05675,AGTL DMR PASS,AGARTALA,DHARMANAGAR
05676,DMR AGTL PASS,DHARMANAGAR,AGARTALA
05693,DLCR BPB PASS SPL,DULLABCHERRA,BADARPUR JN
05694,BPB DLCR PASS SPL,BADARPUR JN,DULLABCHERRA
05701,MLDT KIR PASS SPL,MALDA TOWN,KATIHAR JN
05702,KIR MLDT PASS SPL,KATIHAR JN,MALDA TOWN
05703,JBP NIR PASSENGER,JABALPUR,NAINPUR JN
05704,NIR JBP PASSENGER,NAINPUR JN,JABALPUR
05705,JBP NIR PASSENGER,JABALPUR,NAINPUR JN
05706,NIR JBP PASSENGER,NAINPUR JN,JABALPUR
05707,RDP KIR PASSENGER,RADHIKAPUR,KATIHAR JN
05708,KIR RDP PASSENGER,KATIHAR JN,RADHIKAPUR
05709,NIR MFR PASS SPL,NAINPUR JN,MANDLA FORT
05710,MFR NIR PASS SPL,MANDLA FORT,NAINPUR JN
